Results today,,,,,,
Version of decision procedure=2,,,,,,
egno, eg, sat?, length, outcome, steps, time
-1, -(G(p>q)>(Gp>Gq)), UNSAT,26, UNSAT,24,58
1, G(p>q)>(Gp>Gq), SAT,25, SAT,5,22
-2, -(Gp>(p&Xp&XGp)), UNSAT,20, UNSAT,15,14
2, Gp>(p&Xp&XGp), SAT,19, SAT,3,7
-3, -((pUq)=(q|(p&X(pUq)))), UNSAT,36, UNSAT,26,31
3, (pUq)=(q|(p&X(pUq))), SAT,35, SAT,6,15
-4, -((pUq)>Fq), UNSAT,10, UNSAT,18,13
4, (pUq)>Fq, SAT,9, SAT,2,1
-5, -(p>AEp), UNSAT,10, UNSAT,19,3
5, p>AEp, SAT,9, SAT,1,0
-6, -(Ap>AAp), UNSAT,9, UNSAT,17,3
6, Ap>AAp, SAT,8, SAT,2,1
-7, -(AXp>XAp), UNSAT,10, UNSAT,12,2
7, AXp>XAp, SAT,9, SAT,3,1
-8, -(p>Ap), UNSAT,7, UNSAT,9,1
8, p>Ap, SAT,6, SAT,1,0
-9, -(E(pU(E(pUq)))>E(pUq)), UNSAT,21, UNSAT,239,82
9, E(pU(E(pUq)))>E(pUq), SAT,20, SAT,7,2
-10, -((AG(p>(qUr))&(qUp))>(qUr)), UNSAT,23, UNSAT,29,12
10, (AG(p>(qUr))&(qUp))>(qUr), SAT,22, SAT,8,3
-11, -(G(EFp>XFEFp)>(EFp>GFEFp)), UNSAT,47, out of time,5728,40003
11, G(EFp>XFEFp)>(EFp>GFEFp), SAT,46, SAT,16,6
-12, -(AG(p>EXp)>(p>EGp)), UNSAT,30, UNSAT,748,671
12, AG(p>EXp)>(p>EGp), SAT,29, SAT,9,2
-13, -(AG(Ep>EX((Eq)U(Ep)))>(Ep>EG((Eq)U(Ep)))), UNSAT,52, UNSAT,1660,2351
13, AG(Ep>EX((Eq)U(Ep)))>(Ep>EG((Eq)U(Ep))), SAT,51, SAT,16,8
-14, -((AG(p>EXr)&AG(r>EXp))>(p>EG(Fp&Fr))), UNSAT,51, out of time,12545,40003
14, (AG(p>EXr)&AG(r>EXp))>(p>EG(Fp&Fr)), SAT,50, SAT,10,7
-15, -(p), SAT,2, SAT,0,0
15, p, SAT,1, SAT,0,0
-16, -(p&Xp&F-p), SAT,10, SAT,2,0
16, p&Xp&F-p, SAT,9, SAT,10,1
-17, -(AG((p&X-p&-q&-r)|(-p&Xp&q&-r)|(-p&Xp&-q&r))&E(Fq&Fr)), SAT,56, SAT,16,16
17, AG((p&X-p&-q&-r)|(-p&Xp&q&-r)|(-p&Xp&-q&r))&E(Fq&Fr), SAT,55, SAT,122,114
-18, -(AG(EXp&EX-p)&AG(Gp|((-r)U(r&-p)))), SAT,40, SAT,8,5
18, AG(EXp&EX-p)&AG(Gp|((-r)U(r&-p))), SAT,39, SAT,427,309
-19, -(-(AFAGq>AFGq)), SAT,22, SAT,11,3
19, -(AFAGq>AFGq), UNSAT,21, UNSAT,1093,343
-20, -(AG(p=X-p)&AG(p>-q)&AG(p>-r)&AG(q>-r)&AG(Fq&Fr)&q), SAT,72, SAT,13,29
20, AG(p=X-p)&AG(p>-q)&AG(p>-r)&AG(q>-r)&AG(Fq&Fr)&q, SAT,71, SAT,154,68
-21, -(AGp&XEF-p), SAT,16, SAT,4,0
21, AGp&XEF-p, UNSAT,15, UNSAT,28,2
-22, -(A(Fp>G-q)&-p&-q&XG-p&XG-q&XEFp&XEFq), SAT,52, SAT,13,12
22, A(Fp>G-q)&-p&-q&XG-p&XG-q&XEFp&XEFq, SAT,51, SAT,334,394
-23, -(AG(p>(EFp&EFq))&AG(q>(EFp&EFq))&AF(G-p|G-q)&p), SAT,68, SAT,20,24
23, AG(p>(EFp&EFq))&AG(q>(EFp&EFq))&AF(G-p|G-q)&p, SAT,67, SAT,67,67
